parameters,tokens,accelerators,peak_tflops_each,mfu,hourly_price_each,facility_kw_each,training_flops,accelerator_hours,wall_days,training_cost,cost_per_million_tokens,average_facility_mw,energy_mwh
30000000000.0,600000000000.0,8192,1000.0,0.25,4.0,1.2,1.08e+23,120000.00000000001,0.6103515625000001,480000.00000000006,0.8,9.8304,144.0
30000000000.0,600000000000.0,8192,1000.0,0.3,4.0,1.2,1.08e+23,100000.0,0.5086263020833334,400000.0,0.6666666666666667,9.8304,120.0
30000000000.0,600000000000.0,8192,1000.0,0.35,4.0,1.2,1.08e+23,85714.28571428572,0.43596540178571436,342857.1428571429,0.5714285714285715,9.8304,102.85714285714288
30000000000.0,600000000000.0,8192,1000.0,0.4,4.0,1.2,1.08e+23,75000.0,0.3814697265625,300000.0,0.5,9.8304,90.0
30000000000.0,600000000000.0,8192,1000.0,0.45,4.0,1.2,1.08e+23,66666.66666666667,0.3390842013888889,266666.6666666667,0.4444444444444445,9.8304,80.0
30000000000.0,600000000000.0,8192,1000.0,0.5,4.0,1.2,1.08e+23,60000.00000000001,0.30517578125000006,240000.00000000003,0.4,9.8304,72.0
30000000000.0,600000000000.0,8192,1000.0,0.55,4.0,1.2,1.08e+23,54545.45454545454,0.2774325284090909,218181.81818181815,0.3636363636363636,9.8304,65.45454545454544
30000000000.0,600000000000.0,8192,1000.0,0.6,4.0,1.2,1.08e+23,50000.0,0.2543131510416667,200000.0,0.33333333333333337,9.8304,60.0
