name,total_b,active_b,source,active_fraction,verified_on
DeepSeek-V4-Pro,1600,49,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,0.030625,2026-07-19
DeepSeek-V4-Flash,284,13,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,0.045774647887323945,2026-07-19
Kimi K2.5,1000,32,https://huggingface.co/moonshotai/Kimi-K2.5,0.032,2026-07-19
Qwen3.5 397B-A17B,397,17,https://huggingface.co/Qwen/Qwen3.5-397B-A17B,0.042821158690176324,2026-07-19
GLM-5,744,40,https://huggingface.co/zai-org/GLM-5,0.053763440860215055,2026-07-19
MiniMax-M2,230,10,https://huggingface.co/MiniMaxAI/MiniMax-M2,0.043478260869565216,2026-07-19
gpt-oss-120b,117,5.1,https://huggingface.co/openai/gpt-oss-120b,0.04358974358974359,2026-07-19
Llama 4 Maverick,400,17,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,0.0425,2026-07-19
