condition,seed,step,training_loss
raw,29,47,3.1444168090820312
raw,29,48,3.119795322418213
raw,29,49,2.930142879486084
raw,29,50,2.854109287261963
raw,29,51,3.0683798789978027
raw,29,52,2.946357250213623
raw,29,53,3.061065673828125
raw,29,54,2.9622628688812256
raw,29,55,2.846104145050049
raw,29,56,2.862895965576172
raw,29,57,2.7805166244506836
raw,29,58,2.918438196182251
raw,29,59,2.6308748722076416
raw,29,60,2.8712780475616455
raw,29,61,2.7175724506378174
raw,29,62,2.559694290161133
raw,29,63,2.562894105911255
raw,29,64,2.5237884521484375
raw,29,65,2.679887533187866
raw,29,66,2.506085157394409
raw,29,67,2.7753310203552246
raw,29,68,2.4457085132598877
raw,29,69,2.605245590209961
raw,29,70,2.4284579753875732
raw,29,71,2.5625813007354736
raw,29,72,2.3519299030303955
raw,29,73,2.300603151321411
raw,29,74,2.424152135848999
raw,29,75,2.4336390495300293
raw,29,76,2.3359248638153076
raw,29,77,2.4154248237609863
raw,29,78,2.573075532913208
raw,29,79,2.3259425163269043
raw,29,80,2.1133859157562256
cleaned,29,1,5.755914211273193
cleaned,29,2,5.654555320739746
cleaned,29,3,5.5355119705200195
cleaned,29,4,5.381898880004883
cleaned,29,5,5.2097039222717285
cleaned,29,6,5.074802398681641
cleaned,29,7,4.936169624328613
cleaned,29,8,4.804591178894043
cleaned,29,9,4.692594528198242
cleaned,29,10,4.5584516525268555
cleaned,29,11,4.43918514251709
cleaned,29,12,4.319653034210205
cleaned,29,13,4.219903945922852
cleaned,29,14,4.152163028717041
cleaned,29,15,4.026997089385986
cleaned,29,16,3.91839599609375
cleaned,29,17,3.872650384902954
cleaned,29,18,3.7960119247436523
cleaned,29,19,3.7305171489715576
cleaned,29,20,3.6729860305786133
cleaned,29,21,3.630582571029663
cleaned,29,22,3.6040830612182617
cleaned,29,23,3.5481650829315186
cleaned,29,24,3.520292043685913
cleaned,29,25,3.5062522888183594
cleaned,29,26,3.4744064807891846
cleaned,29,27,3.430774688720703
cleaned,29,28,3.415714740753174
cleaned,29,29,3.3585309982299805
cleaned,29,30,3.364403486251831
cleaned,29,31,3.3182437419891357
cleaned,29,32,3.304945468902588
cleaned,29,33,3.2978644371032715
cleaned,29,34,3.29961895942688
cleaned,29,35,3.362065076828003
cleaned,29,36,3.2359459400177
cleaned,29,37,3.2600927352905273
cleaned,29,38,3.225820302963257
cleaned,29,39,3.2204506397247314
cleaned,29,40,3.251871347427368
cleaned,29,41,3.1780481338500977
cleaned,29,42,3.191923141479492
cleaned,29,43,3.209001302719116
cleaned,29,44,3.115816116333008
cleaned,29,45,3.0923171043395996
cleaned,29,46,3.0685927867889404
cleaned,29,47,3.0672857761383057
cleaned,29,48,3.0658907890319824
cleaned,29,49,3.039588689804077
cleaned,29,50,3.0430867671966553
cleaned,29,51,3.0078163146972656
cleaned,29,52,3.0208985805511475
cleaned,29,53,2.972771644592285
cleaned,29,54,2.959712028503418
cleaned,29,55,2.9257614612579346
cleaned,29,56,2.8689727783203125
cleaned,29,57,2.9027957916259766
cleaned,29,58,2.869769811630249
cleaned,29,59,2.7839553356170654
cleaned,29,60,2.7932746410369873
cleaned,29,61,2.841606378555298
cleaned,29,62,2.8764309883117676
cleaned,29,63,2.7704524993896484
cleaned,29,64,2.7728493213653564
cleaned,29,65,2.6549746990203857
cleaned,29,66,2.695761203765869
cleaned,29,67,2.7540807723999023
cleaned,29,68,2.693406820297241
cleaned,29,69,2.6807656288146973
cleaned,29,70,2.64067006111145
cleaned,29,71,2.5979769229888916
cleaned,29,72,2.575596809387207
cleaned,29,73,2.5504393577575684
cleaned,29,74,2.5685744285583496
cleaned,29,75,2.5025391578674316
cleaned,29,76,2.424532890319824
cleaned,29,77,2.358085870742798
cleaned,29,78,2.467046022415161
cleaned,29,79,2.3221254348754883
cleaned,29,80,2.3019912242889404
raw,43,1,5.7639851570129395
raw,43,2,5.699042797088623
raw,43,3,5.604468822479248
raw,43,4,5.438777923583984
raw,43,5,5.317624568939209
raw,43,6,5.215633392333984
raw,43,7,5.100661277770996
raw,43,8,5.040438175201416
raw,43,9,4.8957061767578125
raw,43,10,4.79374885559082
raw,43,11,4.689137935638428
raw,43,12,4.61568546295166
raw,43,13,4.519911289215088
raw,43,14,4.4322919845581055
raw,43,15,4.331606388092041
raw,43,16,4.248856067657471
raw,43,17,4.157032012939453
raw,43,18,4.114365100860596
raw,43,19,4.057754993438721
raw,43,20,4.035471439361572
raw,43,21,3.9345686435699463
raw,43,22,3.8348026275634766
raw,43,23,3.845374345779419
raw,43,24,3.747610092163086
raw,43,25,3.727458953857422
raw,43,26,3.6779212951660156
raw,43,27,3.640683650970459
raw,43,28,3.596656560897827
raw,43,29,3.596895694732666
raw,43,30,3.533142328262329
raw,43,31,3.48000168800354
raw,43,32,3.4206836223602295
raw,43,33,3.4595820903778076
raw,43,34,3.463815450668335
raw,43,35,3.278759241104126
raw,43,36,3.2927584648132324
raw,43,37,3.3325276374816895
raw,43,38,3.2194902896881104
raw,43,39,3.279658555984497
raw,43,40,3.163347005844116
raw,43,41,3.2696125507354736
raw,43,42,3.0842199325561523
raw,43,43,3.0107808113098145
raw,43,44,3.1696789264678955
raw,43,45,2.851954698562622
raw,43,46,3.0146632194519043
raw,43,47,3.05961012840271
raw,43,48,2.912407159805298
